TYPE;CODE;NAME;SHEETS
TRACT;13089020100;201;1
TRACT;13089020200;202;1
TRACT;13089020300;203;1
TRACT;13089020400;204;1
TRACT;13089020500;205;1
TRACT;13089020600;206;1
TRACT;13089020700;207;1
TRACT;13089020801;208.01;1
TRACT;13089020802;208.02;1
TRACT;13089020900;209;1
TRACT;13089021101;211.01;1
TRACT;13089021102;211.02;1
TRACT;13089021202;212.02;1
TRACT;13089021204;212.04;1
TRACT;13089021208;212.08;1
TRACT;13089021209;212.09;1
TRACT;13089021210;212.10;1
TRACT;13089021211;212.11;1
TRACT;13089021213;212.13;1
TRACT;13089021214;212.14;1
TRACT;13089021215;212.15;1
TRACT;13089021216;212.16;1
TRACT;13089021217;212.17;1
TRACT;13089021218;212.18;1
TRACT;13089021301;213.01;1
TRACT;13089021303;213.03;1
TRACT;13089021305;213.05;1
TRACT;13089021306;213.06;1
TRACT;13089021307;213.07;1
TRACT;13089021308;213.08;1
TRACT;13089021405;214.05;1
TRACT;13089021409;214.09;1
TRACT;13089021410;214.10;1
TRACT;13089021411;214.11;1
TRACT;13089021412;214.12;1
TRACT;13089021413;214.13;1
TRACT;13089021414;214.14;1
TRACT;13089021415;214.15;1
TRACT;13089021416;214.16;1
TRACT;13089021417;214.17;1
TRACT;13089021502;215.02;1
TRACT;13089021503;215.03;1
TRACT;13089021504;215.04;1
TRACT;13089021602;216.02;1
TRACT;13089021603;216.03;1
TRACT;13089021604;216.04;1
TRACT;13089021605;216.05;1
TRACT;13089021703;217.03;1
TRACT;13089021704;217.04;1
TRACT;13089021705;217.05;1
TRACT;13089021706;217.06;1
TRACT;13089021805;218.05;1
TRACT;13089021806;218.06;1
TRACT;13089021808;218.08;1
TRACT;13089021809;218.09;1
TRACT;13089021810;218.10;1
TRACT;13089021812;218.12;1
TRACT;13089021813;218.13;1
TRACT;13089021814;218.14;1
TRACT;13089021906;219.06;1
TRACT;13089021907;219.07;1
TRACT;13089021908;219.08;1
TRACT;13089021909;219.09;1
TRACT;13089021910;219.10;1
TRACT;13089021911;219.11;1
TRACT;13089021912;219.12;1
TRACT;13089021913;219.13;1
TRACT;13089022001;220.01;1
TRACT;13089022004;220.04;1
TRACT;13089022005;220.05;1
TRACT;13089022007;220.07;1
TRACT;13089022008;220.08;1
TRACT;13089022009;220.09;1
TRACT;13089022010;220.10;1
TRACT;13089022100;221;1
TRACT;13089022203;222.03;1
TRACT;13089022204;222.04;1
TRACT;13089022301;223.01;1
TRACT;13089022302;223.02;1
TRACT;13089022401;224.01;1
TRACT;13089022402;224.02;1
TRACT;13089022403;224.03;1
TRACT;13089022500;225;1
TRACT;13089022600;226;1
TRACT;13089022700;227;1
TRACT;13089022800;228;1
TRACT;13089022900;229;1
TRACT;13089023000;230;1
TRACT;13089023101;231.01;1
TRACT;13089023102;231.02;1
TRACT;13089023107;231.07;1
TRACT;13089023108;231.08;1
TRACT;13089023111;231.11;1
TRACT;13089023112;231.12;1
TRACT;13089023113;231.13;1
TRACT;13089023114;231.14;1
TRACT;13089023115;231.15;1
TRACT;13089023204;232.04;1
TRACT;13089023206;232.06;1
TRACT;13089023208;232.08;1
TRACT;13089023209;232.09;1
TRACT;13089023210;232.10;1
TRACT;13089023211;232.11;1
TRACT;13089023212;232.12;1
TRACT;13089023213;232.13;1
TRACT;13089023214;232.14;1
TRACT;13089023303;233.03;1
TRACT;13089023306;233.06;1
TRACT;13089023309;233.09;1
TRACT;13089023310;233.10;1
TRACT;13089023311;233.11;1
TRACT;13089023312;233.12;1
TRACT;13089023313;233.13;1
TRACT;13089023314;233.14;1
TRACT;13089023315;233.15;1
TRACT;13089023316;233.16;1
TRACT;13089023410;234.10;1
TRACT;13089023411;234.11;1
TRACT;13089023412;234.12;1
TRACT;13089023413;234.13;1
TRACT;13089023414;234.14;1
TRACT;13089023416;234.16;1
TRACT;13089023418;234.18;1
TRACT;13089023419;234.19;1
TRACT;13089023421;234.21;1
TRACT;13089023422;234.22;1
TRACT;13089023423;234.23;1
TRACT;13089023424;234.24;1
TRACT;13089023425;234.25;1
TRACT;13089023426;234.26;1
TRACT;13089023427;234.27;1
TRACT;13089023428;234.28;1
TRACT;13089023501;235.01;1
TRACT;13089023504;235.04;1
TRACT;13089023505;235.05;1
TRACT;13089023506;235.06;1
TRACT;13089023507;235.07;1
TRACT;13089023601;236.01;1
TRACT;13089023602;236.02;1
TRACT;13089023603;236.03;1
TRACT;13089023700;237;1
TRACT;13089023801;238.01;1
TRACT;13089023802;238.02;1
TRACT;13089023803;238.03;1
TRACT;13089980000;9800;1
